"","location_id","measure_id","measure_name","location_name","sex_id","sex_name","age_id","age_name","cause_id","cause_name","metric_id","metric_name","year","val","upper","lower","PAF","PAF_upper","PAF_lower","val_m","upper_m","lower_m"
"1",1,5,"Prevalence","Global",3,"Both",27,"Age-standardized",418,"Liver cancer due to hepatitis B",3,"Rate",2019,3.75639279395829,4.36282944624976,3.19379041167949,0.0263830531991803,0.0286718921638086,0.0242748104196507,0.099105110920019,0.115104761379358,0.0842619423383719
"2",1,1,"Deaths","Global",3,"Both",27,"Age-standardized",418,"Liver cancer due to hepatitis B",3,"Rate",2019,2.30604903903307,2.68964499170347,1.94523895758641,0.0263830531991803,0.0286718921638086,0.0242748104196507,0.060840614476728,0.0709610469030214,0.0513213429031203
"3",1,6,"Incidence","Global",3,"Both",27,"Age-standardized",418,"Liver cancer due to hepatitis B",3,"Rate",2019,2.62375011827199,3.05224324696074,2.23706723256451,0.0263830531991803,0.0286718921638086,0.0242748104196507,0.0692225389517256,0.0805274959614041,0.0590206638068924
"4",1,1,"Deaths","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",3,"Rate",2019,2.47802707759837,2.89147731474283,2.0919183229059,0.0263830531991803,0.0286718921638086,0.0242748104196507,0.065377920217287,0.076285999819083,0.0551911924015665
"5",1,2,"DALYs (Disability-Adjusted Life Years)","Global",3,"Both",27,"Age-standardized",418,"Liver cancer due to hepatitis B",3,"Rate",2019,69.1496611969172,80.6092377150509,58.7059312169989,0.0263830531991803,0.0286718921638086,0.0242748104196507,1.82437919006356,2.12671780698156,1.5488417064055
"6",1,6,"Incidence","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",3,"Rate",2019,2.82851362075659,3.29418608996294,2.41019760392054,0.0263830531991803,0.0286718921638086,0.0242748104196507,0.0746248253310272,0.086910686859492,0.0635883716047727
"7",1,5,"Prevalence","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",1,"Number",2019,314203.732283983,364822.424101429,266865.087685973,0.0263830531991803,0.0286718921638086,0.0242748104196507,8289.65378422934,9625.12942332193,7040.71580542293
"8",1,2,"DALYs (Disability-Adjusted Life Years)","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",3,"Rate",2019,74.9224571339765,87.5101191192989,63.4801756799043,0.0263830531991803,0.0286718921638086,0.0242748104196507,1.97668317237901,2.30878412819107,1.67480085205623
"9",1,2,"DALYs (Disability-Adjusted Life Years)","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",1,"Number",2019,5797098.61528001,6771064.50823299,4911756.13572904,0.0263830531991803,0.0286718921638086,0.0242748104196507,152945.161167827,178641.355135793,129587.12343034
"10",1,5,"Prevalence","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",3,"Rate",2019,4.06080993711802,4.7150124993919,3.44899913208418,0.0263830531991803,0.0286718921638086,0.0242748104196507,0.107136564602745,0.124396425606257,0.0909951275857037
"11",1,6,"Incidence","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",1,"Number",2019,218855.24075735,254886.483320348,186488.186943121,0.0263830531991803,0.0286718921638086,0.0242748104196507,5774.06945982058,6724.68364919274,4920.12775713904
"12",1,1,"Deaths","Global",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",1,"Number",2019,191736.468472779,223727.034304748,161861.440172885,0.0263830531991803,0.0286718921638086,0.0242748104196507,5058.59344794029,5902.60224815701,4270.39898697717
"13",5,5,"Prevalence","East Asia",3,"Both",27,"Age-standardized",418,"Liver cancer due to hepatitis B",3,"Rate",2019,9.4678293477305,11.4782191091137,7.62990658039295,0.0294351792233624,0.0320689643890665,0.0270168593298068,0.278687253706657,0.337863436641785,0.224587667651378
"14",5,5,"Prevalence","East Asia",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",3,"Rate",2019,13.4975452737722,16.4032829740466,10.8851342436639,0.0294351792233624,0.0320689643890665,0.0270168593298068,0.397302664208932,0.48283357419259,0.320405877332604
"15",5,6,"Incidence","East Asia",3,"Both",22,"All Ages",418,"Liver cancer due to hepatitis B",3,"Rate",2019,9.40806983861929,11.370436663497,7.63673214490638,0.0294351792233624,0.0320689643890665,0.0270168593298068,0.276928221845669,0.334690841037924,0.224788579366132
"16",5,2,"DALYs (Disability-Adjusted Life Years)","East Asia",3,"Both",27,"Age-standardized",418,"Liver cancer due to hepatitis B",3,"Rate",2019,176.365571482045,215.62932674965,143.936216312539,0.0294351792233624,0.0320689643890665,0.0270168593298068,5.19135220540473,6.3470878786889,4.23678832389224
